memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,pigClass
CZ,Czechia,19/10/2015,25/10/2015,43,"€148,94",100 KG,Average S + E
CZ,Czechia,19/10/2015,25/10/2015,43,"€147,65",100 KG,E
CZ,Czechia,19/10/2015,25/10/2015,43,"€151,46",100 KG,S
CZ,Czechia,19/10/2015,25/10/2015,43,"€49,45",P,Piglet
DK,Denmark,19/10/2015,25/10/2015,43,"€136,41",100 KG,Average S + E
DK,Denmark,19/10/2015,25/10/2015,43,"€40,08",P,Piglet
DK,Denmark,19/10/2015,25/10/2015,43,"€132,85",100 KG,E
DK,Denmark,19/10/2015,25/10/2015,43,"€138,75",100 KG,S
EU+UK,EU + UK,19/10/2015,25/10/2015,43,"€143,13",100 KG,S
EU+UK,EU + UK,19/10/2015,25/10/2015,43,"€142,36",100 KG,Average S + E
EU+UK,EU + UK,19/10/2015,25/10/2015,43,"€141,22",100 KG,E
EU+UK,EU + UK,19/10/2015,25/10/2015,43,"€175,26",100 KG,R
EU+UK,EU + UK,19/10/2015,25/10/2015,43,"€34,26",P,Piglet
EE,Estonia,19/10/2015,25/10/2015,43,"€143,98",100 KG,S
EE,Estonia,19/10/2015,25/10/2015,43,"€113,07",100 KG,R
EE,Estonia,19/10/2015,25/10/2015,43,"€138,39",100 KG,E
EE,Estonia,19/10/2015,25/10/2015,43,"€141,31",100 KG,Average S + E
EE,Estonia,19/10/2015,25/10/2015,43,"€31,80",P,Piglet
EU,European Union,19/10/2015,25/10/2015,43,"€141,65",100 KG,S
EU,European Union,19/10/2015,25/10/2015,43,"€141,25",100 KG,Average S + E
EU,European Union,19/10/2015,25/10/2015,43,"€140,66",100 KG,E
EU,European Union,19/10/2015,25/10/2015,43,"€33,43",P,Piglet
EU,European Union,19/10/2015,25/10/2015,43,"€175,26",100 KG,R
FI,Finland,19/10/2015,25/10/2015,43,"€149,70",100 KG,Average S + E
FI,Finland,19/10/2015,25/10/2015,43,"€145,55",100 KG,E
FI,Finland,19/10/2015,25/10/2015,43,"€44,71",P,Piglet
FI,Finland,19/10/2015,25/10/2015,43,"€118,47",100 KG,R
FI,Finland,19/10/2015,25/10/2015,43,"€152,55",100 KG,S
FR,France,19/10/2015,25/10/2015,43,"€139,65",100 KG,Average S + E
FR,France,19/10/2015,25/10/2015,43,"€134,00",100 KG,E
FR,France,19/10/2015,25/10/2015,43,"€23,80",P,Piglet
FR,France,19/10/2015,25/10/2015,43,"€142,00",100 KG,S
DE,Germany,19/10/2015,25/10/2015,43,"€147,72",100 KG,Average S + E
DE,Germany,19/10/2015,25/10/2015,43,"€145,79",100 KG,E
DE,Germany,19/10/2015,25/10/2015,43,"€37,50",P,Piglet
DE,Germany,19/10/2015,25/10/2015,43,"€149,93",100 KG,S
EL,Greece,19/10/2015,25/10/2015,43,"€171,79",100 KG,Average S + E
EL,Greece,19/10/2015,25/10/2015,43,"€171,79",100 KG,E
EL,Greece,19/10/2015,25/10/2015,43,"€171,79",100 KG,S
HU,Hungary,19/10/2015,25/10/2015,43,"€151,29",100 KG,Average S + E
HU,Hungary,19/10/2015,25/10/2015,43,"€153,35",100 KG,S
HU,Hungary,19/10/2015,25/10/2015,43,"€31,42",P,Piglet
HU,Hungary,19/10/2015,25/10/2015,43,"€149,82",100 KG,E
IE,Ireland,19/10/2015,25/10/2015,43,"€139,23",100 KG,E
IE,Ireland,19/10/2015,25/10/2015,43,"€139,52",100 KG,Average S + E
IE,Ireland,19/10/2015,25/10/2015,43,"€140,31",100 KG,S
IT,Italy,19/10/2015,25/10/2015,43,"€61,55",P,Piglet
IT,Italy,19/10/2015,25/10/2015,43,"€155,10",100 KG,E
IT,Italy,19/10/2015,25/10/2015,43,"€155,10",100 KG,Average S + E
IT,Italy,19/10/2015,25/10/2015,43,"€175,99",100 KG,R
LV,Latvia,19/10/2015,25/10/2015,43,"€99,73",100 KG,R
LV,Latvia,19/10/2015,25/10/2015,43,"€150,92",100 KG,E
LV,Latvia,19/10/2015,25/10/2015,43,"€152,19",100 KG,Average S + E
LV,Latvia,19/10/2015,25/10/2015,43,"€153,28",100 KG,S
LT,Lithuania,19/10/2015,25/10/2015,43,"€143,24",100 KG,E
LT,Lithuania,19/10/2015,25/10/2015,43,"€147,40",100 KG,S
LT,Lithuania,19/10/2015,25/10/2015,43,"€133,24",100 KG,R
LT,Lithuania,19/10/2015,25/10/2015,43,"€145,63",100 KG,Average S + E
LU,Luxembourg,19/10/2015,25/10/2015,43,"€148,19",100 KG,Average S + E
